k,Job,Name
39891, Production Manager, Ian Lewis
209350, Art Direction, Cécile Arlet Colin
28100, Adaptation, Benjamin Glazer
3122, Story, Edward di Lorenzo
13752, Music, Jan Eirik Langoen
11856, Producer, Jon Jashni
14410, Editor, Dirk Westervelt
254172, Executive Producer, Russell Crowe
114051, Screenplay, Gonzalo Goicoechea
25388, Director, Dick Richards
245913, Editor, Luis Carballar
13817, Production Design, Nikki DiFalco
541, Production Design, Joseph C. Wright
42211, Makeup Artist, Mauro Gavazzi
122787, Story, Franco Bucceri
211331, Production Coordinator, Wendy Alport
347096, Production Design, Lauren Spalding
11606, Executive Producer, Meileen Choo
207260, Makeup Effects, Danilo Carignola
31582, Executive Producer, Neil A. Machlis
502, Editor, Ralph Rosenblum
9798, Production Design, Benjamín Fernández
11667, Editor, Dov Hoenig
4141, Executive Producer, Toby Emmerich
48116, Director of Photography, Alexandru Sterian
388468, Sound Recordist, Kenneth Gustavsen
32872, Director, Scott Winant
184098, Executive Producer, David A. Newman
37659, Editor, Micky Blythe
580, Editor, Michael Brown
52762, Visual Effects Supervisor, David Tait
42470, Makeup Artist, Edwin Butterworth
11411, Producer, Menahem Golan
336445, Producer, Jeremy Steckler
17993, Producer, Peter Kaufman
293771, Associate Producer, Zach Lipovsky
356326, Director, Bo Mikkelsen
15208, Dialogue, John Paul Chapple
340103, Director of Photography, Julie Kirkwood
250902, Executive Producer, Mike Phillips
62837, Writer, Karen Janszen
9767, Screenplay, Jeremy Garelick
5422, Costume Design, Mario Paladini
44126, Director, Luigi Cozzi
24106, Story, Edgar Allan Poe
36635, Writer, Adele Comandini
2982, Set Decoration, John Sturtevant
15121, Costume Design, Dorothy Jeakins
29478, Set Decoration, Louis Diage
130398, Story, Hanns Kräly
69605, Editor, Russell F. Schoengarth
41781, Art Direction, Ashoke Bose
197849, Costume Design, Zsuzsa Vicze
111031, Producer, Frank Tashlin
342, Director of Photography, Daniel Gottschalk
31043, Music, Joe Jackson
17057, Producer, Robert Lord
16241, Costume Design, Anthony Mendleson
79697, Producer, Juliana Janes 
20421, Animation, Dave Kupczyk
16876, Producer, Suzanne Lauer
294016, Co-Producer, Michelle Graham
12227, Original Music Composer, Basil Poledouris
53151, Production Design, Daniel Ouellette
17450, Costume Design, Bob Mackie
343010, Co-Writer, Jenna Ricker
27296, Story, William Butler
64682, Art Direction, Ian Gracie
26283, Hairstylist, Larry Germain
36206, Screenplay, Robert Creighton Williams
6415, Art Direction, Derek R. Hill
11400, Screenplay, Terrence Malick
10265, Line Producer, Stephen Lam
13672, Editor, Kako Kelber
17819, Script Supervisor, Annette Haywood-Carter
254193, Production Design, Lisa Myers
766, Original Music Composer, Joseph LoDuca
11152, Supervising Art Director, Brian Edmonds
20662, Still Photographer, David Appleby
41758, Director, Fred Schepisi
12589, Editor, Jon Price
6948, Editor, Joel Plotch
10112, Editor, Tom Acosta
36218, Art Direction, Minoru Akiba
32088, Art Direction, Ariel Roshko
24553, Writer, Mehdi Charef
73649, Writer, Enzo Santin
43596, Costume Design, Adolf Braun
365065, Music, Miquel Coll
449696, Production Manager, Tess Weightman
31578, Editor, Edward A. Warschilka
33005, Sound Effects Editor, Kurt Thum
58013, Line Producer, Giuseppe Viggiano
81310, Animation, Milt Kahl
928, Director of Photography, John Hora
393561, Editor, Laura Poitras
848, Production Design, Elliot Scott
10514, Hairstylist, Larry Germain
294993, Cinematography, Man-Ching Ng
215946, Art Direction, James Page
138699, Producer, F. Hugh Herbert
97605, Art Direction, Jennifer Giron
11932, Co-Producer, Laura Moskowitz
12483, Screenplay, Mick Garris
66881, Associate Producer, Tom Griffith
75564, Costume Design, Don Leifert
38321, Animation, Genndy Tartakovsky
11065, Production Design, Dina Goldman
9089, Production Design, Andrew McAlpine
71, Sound Designer, Mark Holding
43306, Story, David Boehm
110428, Production Design, Riton Dupire-Clément
110428, Production Design, Riton Dupire-Clément
7973, Production Manager, Stéphane Riga
65481, Executive Producer, Ursula Ludwig
9967, Production Design, James L. Schoppe
25563, Writer, Abem Finkel
39770, Production Manager, Mat Troi Day
27030, Production Manager, Ralph Baum
2160, Set Decoration, Walter M. Scott
212622, Screenplay, R.S. Allen
16410, Makeup Artist, George Partleton
396292, Executive Producer, Kristen Zolner
347938, Director, James Kent
15866, Director of Photography, Jamie Barber
11929, Set Decoration, Steve Shewchuk
25953, Production Manager, Ralph E. Black
925, Costume Design, Ruth E. Carter
20481, Director of Photography, Robin Vidgeon
127, Assistant Director, Teresa Violetta Buhl
592, Editor, Richard Chew
44264, Production Design, Jess Gonchor
26761, Producer, Milton Sperling
4476, Producer, William D. Wittliff
4515, Production Design, Jan Roelfs
11954, Editor, John Grover
24047, Costume Design, Giovanna Ottobre-Melton
10673, Editor, Claire Simpson
1619, Executive In Charge Of Production, Bill Block
205022, Cinematography, Dudley
1683, Screenplay, Chad Hayes
15074, Producer, Jan Fantl
38087, Director, Dan Eckman
2109, Casting, Nancy Green-Keyes
320007, Producer, David Keitsch
69103, Animation, Don Williams
44578, Visual Effects Supervisor, Jonathan Privett
540, Music Editor, Wayne Scott Joness
139519, Original Music Composer, Danny Bensi
1018, Production Design, Jack Fisk
31601, Assistant Editor, William Essary
41843, Original Music Composer, Richard Robbins
53459, Sound Re-Recording Mixer, Richard Kondal
53146, Casting, Esther Kling
5991, Art Direction, Walter Röhrig
31530, Production Manager, J.R. Crone
23568, Makeup Department Head, Francie Paull
84336, Stunt Coordinator, Donal OFarrell
33545, Associate Producer, Ana Maria Dans
70044, Casting, Suzanne M. Smith
13538, Visual Effects Supervisor, Simon Frame
26522, Editorial Staff, Mark Warner
37843, Director of Photography, Steven Poster
1277, Sound Designer, Ursula Höf
40140, Producer, M.J. Frankovich
92321, Animation Director, Akira Takata
28124, Director, Jay Sandrich
32037, Editor, Roberto Silvi
32627, Sound Editor, Don Sharpe
10987, Music, Paul Rabjohns
42532, Costume Design, Eric Seelig
16642, Director, Terrence Malick
37294, Art Direction, Feild M. Gray
12831, Producer, Katrina Fernandez
11430, Production Manager, Charles Kaitz
81857, Production Design, Anna Georgiadou
429101, Still Photographer, Marc Hankins
12588, Director of Photography, Leah Striker
42502, Art Direction, Roberto Silva
51617, Camera Operator, Guy Green
114626, Editor, Fernando de Fuentes
931, Casting, Miriam Brickman
2988, Music, Artie Butler
41059, Sound Recordist, Walter Oberst
17720, Sound Editor, Lionel Selwyn
36488, Screenplay, Norman Krasna
43444, Production Design, Christian Bérard
2762, Director of Photography, Reg Johnson
10725, Director of Photography, Gerry Fisher
4398, Animation Director, Peter Kaboth
26271, Script Supervisor, Heidi Sturdevant
10723, Set Decoration, Lisa Robyn Deutsch
63946, First Assistant Director, Pierre Magny
297736, Producer, Genevieve Stevens
18273, Screenplay, Lee Ross
374471, Producer, Gabe Klinger
37560, Editor, Donald Nosseck
35964, Production Design, Çagri Erdogan
321315, Producer, Margarita Manda
13041, Executive Producer, Roberto Viskin
48856, Costume Design, Dana Liebe
2460, Art Direction, Satur Idarreta
20, Casting, Monika Mikkelsen
4326, Sound, Wolfgang Schukrafft
5652, Production Office Assistant, Louis Lombardo
45958, Producer, Guillermo del Toro
327, Sound Designer, Senji Horiuchi
909, Art Direction, Cedric Gibbons
68053, Director of Photography, Erico Menczer
43349, Set Decoration, Kosaburô Nakajima
46768, Makeup Artist, Otello Sisi
205463, Set Decoration, John Sturtevant
266373, Costume Design, Michael Woulfe
101929, Writer, Zenzô Matsuyama
9653, Art Direction, Fritz Maurischat
59873, Writer, Tomaso Sherman
31532, Set Decoration, A.E. Freudeman
26690, Screenplay, Edward Anhalt
8340, Executive Producer, Abbas Ghazali
49842, Art Direction, Max Douy
26319, Director, William Keighley
28304, Screenplay, Charles Schnee
285685, Costume Design, Vilma Martínez
9289, Art Direction, Vincent Korda
35217, Screenplay, Oliver Ziegenbalg
7300, Set Designer, Dianne Wager
340481, Editor, Marie-Hélène Dozo
24271, Art Direction, Gershon Ginsburg
90395, Writer, Lew Brown
9040, Associate Producer, Roger M. Rothstein
10502, Set Decoration, Donald Elmblad
94182, Screenplay, Richard Macaulay
27099, Production Manager, Cécile Amillat
40000, Line Producer, Tracy Lee McGrath
180891, Producer, Masao Onohara
16335, Producer, Clément Miserez
100529, Original Music Composer, Will Bates
136403, Costume Design, Charlotte David
20638, Director of Photography, Joseph MacDonald
21657, Director of Photography, Craig Wrobleski
104364, Writer, Peter Bogdanovich
81887, Production Design, Seamus Flannery
86254, Original Music Composer, Neal Acree
173761, Director, Eduardo Rodríguez
22522, Screenplay, John Hale
55066, Producer, Mark Amin
45824, Writer, Jeff Kramer
10671, Art Direction, E. Preston Ames
19075, Director, Max Reinhardt
14684, Producer, Stanley R. Jaffe
52036, Casting, Jennifer Rudnicke
12619, Writer, Ken Selden
10035, Producer, Richard Finney
512, Producer, Gareth Wiley
47892, Director, Michael Laughlin
91311, Editor, Michael Benni Pierce\t \t   
38437, Producer, Stuart Walker
47540, Co-Producer, Jennifer Sims
1735, VFX Artist, Sachin Bangera
26149, Casting, Avy Kaufman
14864, Art Direction, John Frick
338518, Costume Design, Lenka Padysakova
624, Makeup Artist, Virgil Frye
571, Costume Supervisor, Rita Riggs
27324, Sound Director, Makio Ika
186976, Production Design, Carlos Y. Jacques
24150, Set Decoration, Lori Mazuer
212756, Casting, Vera Miller
24747, Story, Kim Dawson
345911, Production Design, Jennifer Spence
32940, Art Direction, Fred Harpman
342464, Casting, Deborah Aquila
2882, Sound Re-Recording Mixer, Gérard Lamps
82696, Producer, Guymon Casady
184530, Hairstylist, Tina Sims
13966, Editor, Peter Hollywood
1808, Story, James Lyons
26185, Casting, Nessa Hyams
14561, Art Direction, Andrew Moreau
18710, Writer, Howard Browne
10913, Executive Producer, Peter Garde
45347, Production Design, Jaime Phelps
264560, Costume Design, Tracey Boulton
49763, Director of Photography, Geza Sinkovics
37821, Casting, Jennifer L. Smith
167683, Sound Designer, Alessandro Laroca
33729, Director, Bud Yorkin
389, Story, Reginald Rose
38922, Director of Photography, Brianne Murphy
26702, Art Direction, William Cruse
41298, Hairstylist, Agripina Lozada
50463, Art Direction, Mark Haack
36737, Producer, Sandrine Gros dAillon
73500, Makeup Artist, Kendal Shannon
31773, Director, Jack Conway
10028, Producer, Andre Harrell
4477, Production Design, Jane Musky
10354, Producer, Richard D. Zanuck
283378, Editor, Scott Gray
8060, Original Story, John Bingham
224944, Set Decoration, Angela M. Newell
24444, Editor, Toshio Taniguchi
287636, Music, Tim OKeefe
29056, Original Music Composer, Les Baxter
16179, Producer, Bryce Gerlach
9771, Music, Robert Folk
157827, Still Photographer, Nicole Rivelli
194853, Screenplay, Miguel Torres
45691, Original Music Composer, Eva Möller
44618, Special Effects, Bengt Schöldström
36918, Set Decoration, Vladimir Macha
694, Casting, James Liggat
3469, Producer, Joseph Janni
107282, Sound, Gary Alper
43389, Editor, Mario Bonotti
190173, Casting, Dianne Crittenden
30374, Story, Jon Manchip White
42542, Executive Producer, Norman Glick
15697, Makeup Artist, William Tuttle
121455, Set Decoration, Leonard Mokicz
23023, Director, Michael Lembeck
42033, Director of Photography, Les Krizsan
42008, Story, Ettore Scola
153738, Producer, Nick Spicer
12832, Director of Photography, Benedict Neuenfels
14398, Producer, John Bertolli
286875, Executive Producer, Bernadette OMahony
246741, Editor, Yana Gorskaya
9709, Director, Paweł Pawlikowski
321662, Makeup Artist, Liz McCracken
6106, Producer, Brad H. Aronson
24548, Executive Producer, Jeff Franklin
9841, Line Producer, R.J. Louis
20943, Writer, Karen McCullah Lutz
11855, Production Design, Vincent Peranio
59387, Layout, Dave Kupczyk
42694, Cinematography, Richard H. Coll
1697, Makeup Artist, Michaela Häusler
64784, Executive Producer, Megumu Sugiyama
22536, Novel, Émile Zola
1874, Art Direction, Jonathan Hely-Hutchinson
373441, Original Music Composer, Osei Essed
429238, Editor, William Paley
159092, Costume Design, Shauna Leone
331214, Director, David Leland
308529, Writer, Jim McGrath
41876, Sound Designer, Vittorio Trentino
29376, Art Direction, E. Preston Ames
54287, Art Direction, Chip Radaelli
351067, Art Direction, Juan Pedro Valle
63144, Editor, Sarah Devorkin
38448, Executive Producer, Morgan OSullivan
430780, Additional Writing, Claudia ODoherty
13279, Executive Producer, James Lassiter
291865, Story, Conor McMahon
107081, Screenplay, Bruno Corbucci
10764, Director of Photography, Roberto Schaefer
25160, Original Music Composer, George Carlin
9895, Executive Producer, Guy McElwaine
10432, Editor, Kyle Dean Jackson
9898, Editor, Annie L. Amie
51991, Production Design, Sylvie Olivé
31997, Art Direction, Jack Otterson
109477, Digital Effects Producer, Adrián Cardona
5153, Director of Photography, Natale Chiusano
146239, Set Decoration, Sara Parks
13051, Executive Producer, Rick Yorn
24167, Makeup Artist, Giuseppe Annunziata
280165, Original Music Composer, HipHop Tamizha Adhi
28288, Art Direction, Van Nest Polglase
28440, Production Design, Emilio Ruiz del Río
109091, Executive Producer, Michael Schaefer
21512, Special Effects Coordinator, Neville Maxwell
34769, Set Decoration, Cheryl Dorsey
4964, Editor, Brent White
17692, Executive Producer, Alan Landsburg
84175, Producer, Josh Penn
13852, Art Direction, Ben Morieson
104244, Costume Design, Danda Ortona
267935, Editor, Michael Kahn
476, Casting, Sharon Bialy
245, Director, Paul Weitz
47508, Costume Design, Frederick Ko Vert
16081, Editor, Marjorie Fowler
174773, Editor, Ralph Dawson
364410, Original Music Composer, Joanna Bruzdowicz
27176, Director, Jane Anderson
890, Makeup Artist, Heiner Niehues
411405, Producer, Stephanie Wilcox
2669, Set Decoration, Robert Cartwright
291264, Producer, Daniela Taplin Lundberg
19348, Producer, Martha Griffin
12177, Costume Design, Karen Patch
73723, Director, Chris Renaud
35610, Screenplay, Nick Paine
113947, Costume Design, Justine Seymour
69576, Writer, Ruediger von Spiess
47345, Music, Motörhead
18289, Set Decoration, Masataka Kawara
271185, Editor, Adam Lichtenstein
47046, Production Manager, Sirithorn Teerakulchanyut
10086, Director, André Bonzel
307931, Associate Producer, Megan Delaney
24405, Associate Producer, John Rice
359245, First Assistant Camera, Braden Batsford
31941, Casting, Jennifer Shull
8093, Producer, Nadia Khamlichi
2972, Novel, Gustav Meyrink
38751, Makeup Artist, Abe Haberman
38234, Co-Producer, Dana Golomb
41848, Casting, Anne Tait
26515, Original Music Composer, Richard Stone
358982, Producer, John Kyriacou
262840, Producer, Deborah Marks
17796, Writer, Tim Burns
336691, Director of Photography, Josh Ickes
284270, Associate Producer, Bert Govaerts
346225, Sound Editor, Antonio Diego
30335, Original Music Composer, Stuart Michael Thomas
376651, Line Producer, Natalie Angel
281, Art Direction, John Warnke
56529, Editor, Jesse Spencer
50601, Costume Design, Elvis Davis
214938, Costume Design, Rositza Kamburova
73203, Editor, Ralph Sheldon
1394, Sound Effects, Massimo Anzellotti
759, Original Music Composer, Lionel Newman
225, Assistant Costume Designer, Leszek Wlodrarczyk
83667, Set Decoration, Al Orenbach
98027, Producer, Luigi Nannerini
34595, Producer, Julie Ryan
380372, Costume Design, Kimberly Mason Sheree
235271, Novel, Zane
8393, Costume Design, Gail Grobbelaar
5055, Production Design, Roman Mann
100770, Costume Design, Bermans
179085, Set Decoration, William L. Kuehl
10971, Sound Recordist, Geoffrey Daniels
53779, Original Music Composer, Erich Wolfgang Korngold
28058, Screenplay, Duccio Tessari
88496, Producer, Anu Krishnan
77879, Director of Photography, Kenneth Zunder
17978, Director, Martin Ritt
10675, Assistant Art Director, Albert Rajau
64963, Set Decoration, James Redd
71181, Production Manager, Robert Wertheimer
4283, Executive Producer, Mitch Engel
44334, Assistant Director, Sydney Streeter
13667, Associate Producer, William Strom
11077, Casting, Nancy Nayor
152, Editor, Todd C. Ramsay
29224, Adaptation, Lennart Norbäck
14758, Cinematography, Andre Lascaris
130474, Screenplay, John Whiting
42140, Editor, Helena Gerber
64972, Stunt Coordinator, John Ashker
4955, Costume Design, Manon Hahn
254721, Production Sound Mixer, Jacob Ilgner
104505, Associate Producer, Thomas Ordonneau
311291, Casting, Kathleen Crawford
289333, Other, Ron Milton
373479, Director, Thorsten Schütte
210908, Original Music Composer, Mads Heldtberg
1620, Director of Photography, Laurent Barès
254679, Art Direction, Mitsuo Degawa
30131, Assistant Director, Moises M. Delgado
10569, Casting, Juliet Taylor
58372, Art Direction, Philip Messina
12520, Producer, Larry Weinberg
125360, Makeup Artist, Kate Biscoe
42616, Producer, B.P. Schulberg
70591, Costume Design, Frank L. Thompson
289728, Editor, Heath Ryan
27150, Director, Michael Miller
38006, Art Direction, Ted Marshall
39867, Director of Photography, Oliver Wood
36093, Casting, Sérgio Machado
16769, Executive Producer, Bob Larson
32077, Production Design, Stephen B. Grimes
179798, Associate Producer, Thomas Michael Donnelly
113757, Screenplay, Don Hartman
521, Costume Design, Moss Mabry
74126, Sound, Yoshisaburô Senoo
287587, Producer, Sam Slater
25643, Director, Brandon Camp
642, Art Direction, Jack Martin Smith
13809, Director of Photography, David Higgs
273477, Producer, Betsy Sullenger
699, Editor, John Grover
103731, Original Music Composer, David Wingo
15543, Producer, Braxton Pope
18158, Assistant Director, Gene Anderson Jr.
16999, Producer, Michele Greco
328840, Producer, Michael Gaston
912, Art Direction, Robert F. Boyle
43434, Screenplay, Dan Franck
19904, Producer, Mark Morgan
37725, Producer, David Furnish
301730, Director of Photography, Warwick Field
22727, Assistant Director, Austin McKinney
4296, Director of Photography, Rene Ohashi
84288, Producer, Tanner Barklow
20417, Hairstylist, Carmen Dirigo
40634, Art Direction, Eric Orbom
25983, Co-Producer, Derek Curl
1813, Director, Taylor Hackford
49370, Music, Ralph Burns
47819, Screenplay, Michael Mislove
340027, Co-Producer, Gerard Barrett
169813, Executive Producer, Douglas R. Stone
27845, Casting, Georgianne Walken
238399, Production Design, Bruce Ryan
151848, Screenplay, Lynn Riggs
168, Set Decoration, John M. Dwyer
10000, Associate Producer, José María Nieto Roa
105077, Producer, Paul M. Leonard
411023, Executive Producer, Paul G. Allen
32389, Dialogue, Gregory J. Pruss
111190, Producer, Barbara Gibbs
84199, Original Music Composer, Alec Puro
12600, Screenplay, Hideki Sonoda
12600, Screenplay, Hideki Sonoda
2119, Set Decoration, Thomas L. Roysden
374452, Co-Producer, Laurence Clerc
283596, Line Producer, Paula McBreen
1934, Screenplay, Marc Norman
9017, Director, Steve Barker
404604, Executive Producer, Rishikesh Laxmikant
40687, Associate Producer, Erik Lee Preminger
90, Casting, Margery Simkin
25678, Original Music Composer, Michael Bishop
19204, Sound Engineer, Ugo Celani
43719, Production Design, Will Hughes-Jones
77571, Costume Design, Renié
175291, Director of Photography, Sebastian Winterø
61237, Music, Riz Ortolani
30576, Gaffer, Hans Wallin
41090, Makeup Artist, Kyle Sweet
8942, Original Music Composer, Will Oldham
37744, Sound Engineer, Tom Lambert
331446, Producer, David Michael Latt
37467, Story, Jack Rabin
60629, Production Design, Michael Baugh
9267, Screenplay, Terry Jones
109418, Production Design, Aaron Osborne
30157, Art Direction, Ginger Tougas
815, Makeup Artist, Ken Jennings
57214, Executive Producer, Andrew Rona
221737, Music Editor, Thomas Andrew Gallegos
80276, Costume Design, Roopa Vait
140823, Producer, Philip Steuer
26945, Editor, Satoshi Terauchi
10307, Screenplay, Tom Lazarus
13903, Producer, Dan Griffiths
13788, Casting, Seth Yanklewitz
312167, Production Design, Vincent Albo
13820, Art Direction, Lynda Burbank
2018, Screenplay, Pamela Falk
331161, Director of Photography, Gavin Kelly
16380, Director, Rudolph Maté
29786, Original Music Composer, John Scott
39957, Original Music Composer, Zack Ryan
21132, Editor, Jeffrey Wolf
42114, Director of Photography, Mario DiLeo
383140, Producer, Craigar Grosvenor
77866, Producer, Stephen Levinson
43241, Producer, Bert I. Gordon
266294, Original Music Composer, Christophe Beck
41590, Editor, Thom Noble
21183, Director of Photography, Raffaele Mertes
18395, Editor, David Finfer
542, Original Music Composer, Rosino Serrano
11974, Original Music Composer, Jerry Goldsmith
85613, Director of Photography, Edward Cronjager
4913, Editor, Annette Davey
1883, Music Supervisor, Alex Steyermark
23367, Producer, Ron Schmidt
45458, Costume Design, Pierre-Jean Larroque
26038, Screenplay, Jay Dratler
8409, Screenplay, Christian Gudegast
315134, Supervising Producer, Marnie Young
2565, Art Direction, Tom Duffield
30694, Casting, Penny Ellers
989, Producer, Victor Saville
93492, Director, Pedro Lazaga
16058, Screenplay, Mark OToole
12716, Screenplay, Jérôme Tonnerre
41391, Writer, Poul Knudsen
2140, Casting, Franck Baldino
408435, Associate Producer, Malin Idevall
464, Producer, Henrik Møller-Sørensen
10758, Executive Producer, Robert Bauer
29267, Art Direction, Robert Herlth
11490, Director of Photography, Alain Marcoen
41058, Set Decoration, John McCarthy Jr.
206563, Director of Photography, Adriano Goldman
405670, Producer, Maria Lavnikovich
319341, Producer, Dimitri Rassam
14459, Writer, Everett De Roche
366080, Sound Effects Editor, Dhanush Nayanar
86920, Original Music Composer, Alan Rawsthorne
308686, Consulting Producer, Kevin Fair
9208, Editor, Joe Hutshing
12477, Camera Operator, Akitaro Daichi
339, Line Producer, Rudd Simmons
144680, Executive Producer, Megan Baltimore
4539, Camera Operator, Les Blank
747, Production Design, Marcus Rowland
24049, Choreographer, Raju Sundaram
147815, Costume Design, Eka Lakhani
95358, Costume Design, Renié
8852, Executive Producer, Shep Gordon
27171, Associate Producer, Judy Gordon
365222, Sound Designer, Kinson Tsang
289394, Executive Producer, András Hámori
410876, Producer, Kenny Solomon
15935, Music, Dave Graney
350845, Makeup Artist, Dimitra Fafaliou
9965, Editor, Brent White
2148, Producer, Robert Evans
40990, Executive Producer, Jacqueline Quella
45169, Production Design, Leon Ericksen
1819, Producer, Scott Stuber
9930, Screenplay, Jim Cash
26275, Editor, Yoshiyuki Koike
50780, Screenplay, Kyle Killen
5072, Director of Photography, Ed Wild
11300, Associate Producer, Bill Miller
127560, Producer, Bill Curbishley
9009, Novel, Kôji Suzuki
22023, Production Design, Toby Carr Rafelson
43445, Assistant Director, Francesco Rosi
12758, Editor, Sergio Montanari
59892, Editor, Marie Zemanová
22121, Casting, John Kramer
20532, Story, Ogai Mori
197611, Set Decoration, Richard Merrell
124210, Art Direction, Bill Hiney
14234, Sound mixer, Akritchalerm Kalayanamitr
17277, Production Design, Veniero Colasanti
10105, Producer, Adam Abel
9717, Story, Harv Zimmel
98398, Writer, Wallace Smith
39472, Executive Producer, Vittorio Cecchi Gori
153854, Editor, Scott Cummings
130750, Director of Photography, Mrinal Desai
82239, Screenplay, Jack Yellen
20829, Writer, Judd Apatow
27286, Co-Producer, Tobin Yelland
245855, Executive Producer, Julie Mehretu
948, Makeup Artist, Erica Ulland
23730, Costume Design, Jennifer Lax
8764, Director, David Zucker
2383, Art Direction, Heidi Lüdi
116014, Producer, Paul Mazursky
72113, Producer, Saïd Ben Saïd
36758, Screenplay, Laura Jones
8834, Writer, Brian Helgeland
14534, Producer, Robert N. Fried
329833, Writer, John Hamburg
9335, Editor, Vincent Tabaillon
98642, Associate Producer, Andrea De Liberato
45569, Original Music Composer, Dmitriy Golovkov
28735, Director, Allan Arkush
92312, Sound Engineer, Pietro Spadoni
107406, Production Manager, Bruno Vani
56386, Set Decoration, Giorgio Marzelli
179103, Additional Music, M.K. Jerome
43887, Screenplay, John Twist
95700, Sound Recordist, Jacques Cassuto
24580, Director of Photography, Walter J. Harvey
86431, Production Manager, Ottó Föld
16520, Director, Walter Lang
52270, Makeup Artist, Ben Nye
65012, Director of Photography, James Wong Howe
27600, Screenplay, Astrid Lindgren
1675, Art Direction, Damien Lanfranchi
36850, Editor, Don Guidice
81113, Story, Clarence Budington Kelland
53230, Director of Photography, Ray Rennahan
9345, Editor, Thomas Lagerman
42345, Art Direction, Tambi Larsen
30583, Executive Producer, Waldemar Bergendahl
13963, Producer, Joel Chernoff
159414, Associate Producer, Toshio Shimizu
353311, Production Design, Derek McLane
85640, Producer, Hall Bartlett
82036, Director of Photography, Francis Corby
20620, Original Music Composer, Jerry Goldsmith
117479, Sound, Louis Hochet
12444, Editor, Mark Day
332794, Book, Jean-Michel Cousteau
30588, Music Director, Rudy Schrager
22871, Screenplay, Albert Maltz
5709, Editor, Bert Lovitt
5955, Screenplay, Mary Olson-Kromolowski
1911, Co-Producer, Lou Arkoff
251736, Executive Producer, Christos V. Konstantakopoulos
258284, Editor, Billy McMillin
39899, Director of Photography, John R. McLean
32921, Screenplay, Richard Macaulay
106124, Director, Jaromil Jireš
58455, Editor, Fred Allen
39833, Hairstylist, Helen Turpin
846, Producer, Daniel Sackheim
68507, Original Music Composer, Pakawat Waiwitaya
48249, Casting, Juliet Taylor
11564, Executive Producer, Merrie Lynn Ross
24808, Casting, Pam Polifroni
16119, Background Designer, Dennis Venizelos
46027, Set Decoration, Carolyn Cartwright
12233, Original Music Composer, Barry Manilow
20043, Writer, Hiroyuki Yamaga
15657, Visual Effects Supervisor, Julian Hynes
48171, Costume Design, Carlo Poggioli
16198, Producer, Takashi Shoji
298787, Visual Effects, Praveen Bareria
13210, Camera Operator, Norman Warwick
110412, Makeup Artist, Bunty Phillips
333103, Writer, Kevin Schini
211166, Director, Im Sang-soo
14342, Art Direction, Pat Tagliaferro
353866, Makeup Artist, Janine Schoch
26809, Art Department Manager, Bill Schwab
42983, Production Manager, Jerzy Szebesta
20216, Music, Billy White Acre
381890, Executive Producer, La Peikang
10041, Director of Photography, Erik Wilson
71066, Art Direction, Irvin J. Martin
354133, Visual Effects Art Director, Richard Servello
402446, Set Decoration, Mary Kirkland
33159, Director of Photography, Seamus Tierney
2055, Casting, Mindy Marin
822, Sound, Durgadas Mitra
58159, Animation, Les Clark
47763, Editor, Matthew Brulotte
174337, Costume Design, Emily Batson
253020, Makeup Department Head, Federico Carretti
24804, Producer, Jon Steingart
364, Editor, Bob Badami
3125, Executive Producer, Mardi Rustam
23398, Executive Producer, Steve Waterman
321494, Editor, Charles Norris
17403, Production Design, Dan Davis
68924, Producer, Ted Hope
333354, Assistant Director, Kemel Jamís
94192, Sound, Terry Kellum
551, Editor, Harold F. Kress
42513, Hairstylist, Simone Knapp
28162, Costume Design, Hein Heckroth
29959, Set Decoration, Sidney Clifford
76871, Adaptation, Pascal Jardin
20778, Novel, Pierre Lesou
201283, Still Photographer, Adger W. Cowans
9686, Writer, Richard Price
58257, Writer, Christopher Logue
372981, Special Effects Supervisor, Adam Howarth
392629, Music, Jeff Tymoschuk
402672, Editor, Sandeep Francis
406429, Costume Design, Nuttavut Baiphowongse
1542, Art Direction, Adele Plauche
59118, Stunts, Virginie Arnaud
9531, Producer, Pierre Spengler
33666, Set Decoration, Hugh Hunt
40040, Costume Design, Sonya Despotova
40507, Casting, Craig Campobasso
25557, Casting, Sharon Howard-Field
34223, Production Design, Alan Roderick-Jones
31661, Production Design, Edward C. Carfagno
10844, Art Direction, David Kolff
2161, Producer, Saul David
9342, Editor, Thom Noble
63700, Costume Design, Patrick Antosh
15159, Editor, Julia Wong
15774, Dialogue, K.P. Saxena
30996, Associate Producer, Miljan Peter Ilich
47404, Orchestrator, Leo Arnaud
27130, Assistant Director, William Dorfman
648, Set Decoration, Lucien Carré
353462, Makeup Department Head, Colleen Quinton
7090, Production Design, John DeMeo
10183, Art Direction, Brian Rzepka
196784, Art Direction, Alfred Sweeney
1408, Producer, James Gorman
11868, Editor, James Needs
3980, Producer, Rupert Harvey
52199, Art Direction, Don Ament
35007, Art Direction, Duncan Sutherland
15227, Music, Nozomi Aoki
327016, Special Effects, Mikael Tanguy
107876, Hairstylist, Grace Boyd
12766, Screenplay, Roland Kibbee
43533, Set Decoration, Darrell Silvera
43448, Art Direction, Jack Okey
61855, Set Decoration, Edwin B. Willis
101308, Director, Bernard McEveety
829, Art Direction, W. Stewart Campbell
29778, Special Effects, Frank George
983, Editor, Russell Lloyd
918, Editor, Robert Pergament
31993, Director, Mitchell Leisen
